"","GEOID","neib_name","Predicted_2020_GANG_PRESENCE_raw_metric","Predicted_2020_GANG_PRESENCE_metric"
"1","06085500100","San Jose - Northside",0.308472787163218,"60"
"2","06085500200","San Jose - Downtown",0.504927915060843,"90"
"3","06085500300","San Jose - Downtown",0.538893848472923,"90"
"4","06085500400","Rose Garden",0.324796350018756,"60"
"5","06085500500","Rose Garden",0.323313127051241,"60"
"6","06085500600","Rose Garden",0.263069780290689,"50"
"7","06085500800","San Jose - Downtown",0.795177627876699,"90"
"8","06085500901","San Jose - Downtown",0.743415459779988,"90"
"9","06085500902","San Jose - University",0.372104179749868,"70"
"10","06085501000","San Jose - Northside",0.612688081793212,"90"
"11","06085501101","San Jose - Northside",0.366411517603025,"70"
"12","06085501102","San Jose - Northside",0.459768182852052,"80"
"13","06085501200","San Jose - Northside",0.467041917862573,"80"
"14","06085501300","San Jose - University",0.431931421828955,"80"
"15","06085501401","Alum Rock West",0.443791399140658,"80"
"16","06085501402","Brookwood Terrace",0.472077664887113,"80"
"17","06085501501","Brookwood Terrace",0.463003654716488,"80"
"18","06085501502","Brookwood Terrace",0.511850439692025,"90"
"19","06085501600","San Jose - University",0.479340329955791,"80"
"20","06085501700","Guadalupe / Washington",0.56685423158963,"90"
"21","06085501800","Willow Glen",0.318093778424776,"60"
"22","06085501900","San Jose - Downtown",0.383284004240717,"70"
"23","06085502001","West San Carlos / Burbank",0.291539684792615,"60"
"24","06085502002","West San Carlos / Burbank",0.455107094204655,"80"
"25","06085502101","West San Carlos / Burbank",0.185165947066951,"30"
"26","06085502102","West San Carlos / Burbank",0.449483908002598,"80"
"27","06085502201","North Willow Glen / Gardner",0.349581080345303,"70"
"28","06085502202","Willow Glen",0.240976597989105,"50"
"29","06085502301","North Willow Glen / Gardner",0.187348555486048,"30"
"30","06085502302","North Willow Glen / Gardner",0.290948442019676,"60"
"31","06085502400","Willow Glen",0.221528663271562,"40"
"32","06085502500","Willow Glen",0.163436201823909,"20"
"33","06085502601","Willow Glen",0.177571495241205,"30"
"34","06085502603","Winchester East",0.139378690900506,"20"
"35","06085502604","Winchester East",0.246504295128155,"50"
"36","06085502701","Cambrian Park West Central",0.199916216859224,"40"
"37","06085502702","Cambrian Park West",0.155120254232973,"20"
"38","06085502800","Cambrian Park West Central",0.185538645000141,"30"
"39","06085502901","Cambrian Park West Central",0.180768702759574,"30"
"40","06085502902","Cambrian Park East Central",0.190709200520839,"30"
"41","06085502903","Willow Glen South",0.18911359806474,"30"
"42","06085502906","Cambrian Park West Central",0.242059773393127,"50"
"43","06085502907","Cambrian Park East Central",0.23108747935811,"40"
"44","06085502908","Cambrian Park East Central",0.179572925828556,"30"
"45","06085502909","Cambrian Park East",0.26717339671686,"50"
"46","06085502910","Cambrian Park East",0.281879937933034,"50"
"47","06085503001","Willow Glen South",0.19383014775486,"30"
"48","06085503002","Willow Glen South",0.337799081558908,"70"
"49","06085503003","Cambrian Park East",0.204518254997082,"40"
"50","06085503105","Kennedy Santee",0.606300542978208,"90"
"51","06085503108","Willow Glen South",0.297169162874653,"60"
"52","06085503110","Kennedy Santee",0.584344647212724,"90"
"53","06085503111","Meadows",0.338717299146529,"70"
"54","06085503112","Spartan Keyes / Monterey Corridor",0.661566665719245,"90"
