"","GANG_PRESENCE","gang_affiliated_crime","graffiti","child_maltreatment","developmental_trauma","exposure_to_violence_and_racial_prejudice","community_disorganization","presence_of_illegal_firearms","school_violence_and_low_graduation","youth_with_disabilities","poverty","substance_abuse","GANG_PRESENCE_percentile","gang_affiliated_crime_percentile","graffiti_percentile","child_maltreatment_percentile","developmental_trauma_percentile","exposure_to_violence_and_racial_prejudice_percentile","community_disorganization_percentile","presence_of_illegal_firearms_percentile","school_violence_and_low_graduation_percentile","youth_with_disabilities_percentile","poverty_percentile","substance_abuse_percentile","GANG_PRESENCE_score"
"1",0.41219945704202,0,0,0.25999000967695,0.307565798020214,0.211094293349438,0.373033830335331,0.0898348507736905,0.354896672746009,0,0.444770711665609,0.254604277257508,0.797520661157025,0,0,0.723140495867769,0.933884297520661,0.888429752066116,0.809917355371901,0.735537190082645,0.690082644628099,0,0.880165289256198,0.830578512396694,"70"
"2",0.31749012770219,0,0,0.234067431941379,0.17403220617185,0.209726763043118,0.338687527471536,0.061911938610247,0.414865676787702,0,0.0851488523200443,0.289061452687771,0.690082644628099,0,0,0.685950413223141,0.756198347107438,0.880165289256198,0.768595041322314,0.599173553719008,0.90495867768595,0,0.28099173553719,0.859504132231405,"60"
"3",0.395484863469867,0,0,0.153935922835343,0.266129899388137,0.330522509619934,0.446994739081203,0.187245544514624,0.390225304551479,0,0.0873636176672279,0.347198233990991,0.760330578512397,0,0,0.512396694214876,0.892561983471074,0.950413223140496,0.888429752066116,0.909090909090909,0.826446280991736,0,0.285123966942149,0.925619834710744,"70"
"4",0.278927627390028,0,0,0.0915179167972556,0.157327743576186,0.104887878471883,0.274715947940658,0.051594308267553,0.390225304551479,0.185509654811149,0.265334106120308,0.087574054210254,0.611570247933884,0,0,0.318181818181818,0.710743801652893,0.578512396694215,0.665289256198347,0.557851239669422,0.826446280991736,0.776859504132231,0.698347107438017,0.409090909090909,"60"
"5",0.256064967881252,0,0,0.201526590804132,0.0785023258315184,0.206326307223352,0.18786928911459,0.106503359107618,0.38620962276937,0.118861155048031,0.0946959541303129,0.11032033376956,0.566115702479339,0,0,0.632231404958678,0.491735537190083,0.867768595041322,0.5,0.768595041322314,0.78099173553719,0.549586776859504,0.309917355371901,0.520661157024793,"50"
"6",0.259641116407614,0,0,0.189543957420545,0.184983376080555,0.196124059892225,0.185110045735976,0.0794752948201224,0.390225304551479,0.0746535822997592,0.0697741946898224,0.139362509108996,0.574380165289256,0,0,0.582644628099174,0.789256198347107,0.84297520661157,0.491735537190083,0.694214876033058,0.826446280991736,0.392561983471074,0.243801652892562,0.640495867768595,"50"
"7",0.820782446586467,0.245250224752772,0,0.295026348209951,0.425177759010543,0.774372179815542,0.588964793418658,0.628745344406867,0.414865676787702,0.140499798048234,0.0660082079228332,0.823392903917427,0.991735537190083,0.93801652892562,0,0.785123966942149,0.987603305785124,0.995867768595041,0.966942148760331,0.991735537190083,0.90495867768595,0.648760330578512,0.231404958677686,0.991735537190083,"90"
"8",0.832796070739399,0,0,0.13177392819408,0.257032072105046,0.839968725285786,0.809004487053687,0.643842116615141,0.414865676787702,0,0.35232240109798,1.01543192645232,0.995867768595041,0,0,0.454545454545455,0.884297520661157,1,0.995867768595041,0.995867768595041,0.90495867768595,0,0.818181818181818,0.995867768595041,"90"
"9",0.197053328242347,0,0,0.00150710651380301,0.0499543349029001,0.0687952510509391,0.24702598278228,0.0158712970840746,0.390225304551479,0.0402925229318205,0.140931192450446,0.231968310859772,0.454545454545455,0,0,0.111570247933884,0.318181818181818,0.446280991735537,0.619834710743802,0.355371900826446,0.826446280991736,0.247933884297521,0.450413223140496,0.814049586776859,"40"
"10",0.579701721158558,0,0,0.301034184794269,0.386029777859623,0.422903317473154,0.515364302456347,0.171185813960966,0.414865676787702,0,0.319050714949102,0.628940483450561,0.946280991735537,0,0,0.805785123966942,0.983471074380165,0.979338842975207,0.942148760330578,0.892561983471074,0.90495867768595,0,0.760330578512397,0.975206611570248,"90"
"11",0.293619930182615,0,0,0.202400089217251,0.117079392434843,0.0993245065846385,0.334481238137248,0,0.414865676787702,0,0.297405045453975,0.218879405433131,0.644628099173554,0,0,0.636363636363636,0.619834710743802,0.553719008264463,0.747933884297521,0,0.90495867768595,0,0.747933884297521,0.785123966942149,"60"
"12",0.490181915320776,0,0,0.403667134169843,0.313548832507335,0.195782101111041,0.278991616439439,0.153143162268976,0.467346506400601,0.336072098206389,0.237131213401896,0.312158403441601,0.87603305785124,0,0,0.933884297520661,0.93801652892562,0.834710743801653,0.673553719008264,0.863636363636364,0.975206611570248,0.946280991735537,0.665289256198347,0.892561983471074,"80"
"13",0.524026839935596,0,0,0.397294122237702,0.142097412541517,0.274282101171456,0.392568585625048,0.112055036409663,0.467346506400601,0.263751628889121,0.4411617239953,0.381776693853925,0.896694214876033,0,0,0.929752066115702,0.677685950413223,0.942148760330578,0.84297520661157,0.789256198347107,0.975206611570248,0.871900826446281,0.871900826446281,0.929752066115702,"80"
"14",0.33507148038354,0,0,0.0876937378710324,0.174353782817035,0.171935350502695,0.479557413990294,0.15787981228126,0.414865676787702,0.0596688292824634,0.0113315338967635,0.340859094417304,0.714876033057851,0,0,0.297520661157025,0.760330578512397,0.785123966942149,0.913223140495868,0.867768595041322,0.90495867768595,0.322314049586777,0.0454545454545455,0.913223140495868,"70"
"15",0.735983983611529,0,0,0.294538058437984,0.382673986759244,0.508296211118067,0.598251783403347,0.311700710479574,0.467346506400601,0.118966715576492,0.5723087839401,0.711028889704587,0.975206611570248,0,0,0.78099173553719,0.979338842975207,0.983471074380165,0.975206611570248,0.983471074380165,0.975206611570248,0.553719008264463,0.946280991735537,0.983471074380165,"90"
"16",0.4420125878007,0.262475946119307,0,0.32767527917506,0.137791319221723,0.150770556708084,0.388118948916169,0.110341450563548,0.467346506400601,0,0.294534897470039,0.310441745660415,0.834710743801653,0.942148760330578,0,0.851239669421488,0.673553719008264,0.71900826446281,0.834710743801653,0.785123966942149,0.975206611570248,0,0.739669421487603,0.888429752066116,"80"
