"","GEOID","neibid","NAME","sampled_pop","total_pop","unemployed","not_in_labor_force","below_poverty_line","no_diploma_18_24_male","no_diploma_18_24_female","under_18_pop","under_18_with_disability","single_mothers","no_diploma_25_64","family_in_poverty","entered_2010_later","foreign_born","disability_under_18","income_under_poverty_line","Poverty_6_and_younger","Poverty_6_11","Poverty_12_17","white","black","asian","hispanic","amiakn","hawaiipi","other_races","two_or_more_races","tract","OBJECTID","tobacco_dens","crime_1mi_ave","alchohol_dens","birth_teen","overobese_teen","overobese_child","ALAND","weed_dens","c_auto_theft","c_burglary","c_narcotics","c_sex","c_grand_theft","c_dui","c_drunk_in_public","c_minor_alcohol","c_minor_tobacco","c_child_abuse","c_child_molest","c_child_neglect","c_domestic_battery","c_domestic_violence","c_missing_juv","c_agg_assault","c_intercourse_with_minor","c_robbery","c_assault","c_threats","c_graffiti","c_disturbance","c_weapons","c_armed_robbery","c_strong_armed_robbery","c_domestic_armed_robbery","c_gang_crime","c_total_crime","cad_calls","ssci_incidents","Hispanic_or_Latino_12th_grade_Enrolled","American_Indian_or_Alaska_Native_12th_grade_Enrolled","Asian_12th_grade_Enrolled","Pacific_Islander_12th_grade_Enrolled","Filipino_12th_grade_Enrolled","African_American_12th_grade_Enrolled","White_12th_grade_Enrolled","Two_or_More_Races_12th_grade_Enrolled","Not_Reported_12th_grade_Enrolled","Hispanic_or_Latino_Graduated","American_Indian_or_Alaska_Native_Graduated","Asian_Graduated","Pacific_Islander_Graduated","Filipino_Graduated","African_American_Graduated","White_Graduated","Two_or_More_Races_Graduated","Not_Reported_Graduated","total_enrolled","total_graduated","grad_rate","no_grad_rate","graf_incidents","graf_area","edi","youth_in_poverty","no_diploma_18_24"
"316","06085511913",36,"Census Tract 5119.13, Santa Clara County, California",427,4167,1.3,0.00359971202303816,0.8,0.00191984641228702,0.00215982721382289,0.283177345812335,60,0.0153587712982961,0.019438444924406,0.00167986561075114,0.013678905687545,0.213822894168467,0.00911927045836333,0,0,0,0,64.8,0.1,19.5,14.2,0,0,0.0379169666426686,0.0415166786657067,"5119.13",36,2.6,3.5,2,8.1,"11% to 17%","8% to 10%","1927988",0,2.39980801535877,4.31965442764579,0.239980801535877,0,1.67986561075114,0.239980801535877,0,0,0,1.67986561075114,0.239980801535877,0.959923206143509,0.239980801535877,0,0.239980801535877,0.479961603071754,0,0,0.719942404607631,0.239980801535877,0.239980801535877,0.239980801535877,0.239980801535877,0,0,0,0,13.9188864890809,685,0,1135,6,159,12,31,60,629,81,4,775,7,139,11,30,42,558,69,3,2117,1634,0.771846953235711,0.228153046764289,0,0,-0.689064692229179,0,0.00407967362610991
"317","06085511914",36,"Census Tract 5119.14, Santa Clara County, California",575,5797,3.3,0.0257029498016215,3.8,0.00155252716922546,0,0.244954286700017,46,0.0255304467828187,0.00276004830084526,0.00759013282732448,0.0329480765913404,0.260307055373469,0.0163877867862688,0,0,0,0.00586510263929619,56.8,0.3,26,9.6,0.0117302052785924,0.00672761773331033,0.0334655856477488,0.0543384509228911,"5119.14",36,2.6,3.5,2,8.1,"11% to 17%","8% to 10%","2776705",0,1.03501811281697,8.28014490253579,0.517509056408487,0,1.72503018802829,0,0.172503018802829,0,0,0.172503018802829,0,0.172503018802829,0.862515094014145,0.172503018802829,0.172503018802829,0.345006037605658,0,0,1.55252716922546,0.172503018802829,0.172503018802829,0.517509056408487,0.172503018802829,0,0,0,0.172503018802829,15.0077626358461,1025,0,1022,6,270,12,28,52,453,29,5,673,8,255,11,27,36,399,16,4,1877,1429,0.761321257325519,0.238678742674481,0,0,-0.251071359894467,0.00586510263929619,0.00155252716922546
"318","06085511915",36,"Census Tract 5119.15, Santa Clara County, California",270,3695,2.3,0.0138024357239513,22.5,0.00324763193504736,0.00920162381596752,0.304194857916103,29,0.0414073071718539,0.115020297699594,0.0403247631935047,0.0200270635994587,0.350744248985115,0.00189445196211096,0.0189445196211096,0.0376184032476319,0.0262516914749662,0.00893098782138024,30.4,9.6,13.2,40.8,0,0,0.250338294993234,0.0576454668470907,"5119.15",36,2.6,3.5,2,8.1,"11% to 17%","8% to 10%","1126107",0,7.57780784844384,3.78890392422192,5.68335588633288,0.27063599458728,4.33017591339648,1.62381596752368,1.08254397834912,0.54127198917456,0,2.43572395128552,0.54127198917456,1.08254397834912,3.24763193504736,0.54127198917456,1.89445196211096,2.43572395128552,0,1.89445196211096,8.93098782138024,1.08254397834912,0.81190798376184,1.08254397834912,1.3531799729364,0.54127198917456,1.08254397834912,0,0,47.361299052774,1389,0,1135,6,159,12,31,60,629,81,4,775,7,139,11,30,42,558,69,3,2117,1634,0.771846953235711,0.228153046764289,0,0,1.63900003404937,0.0728010825439784,0.0124492557510149
"319","06085511916",36,"Census Tract 5119.16, Santa Clara County, California",466,4699,4.9,0.0168120876782294,6.5,0.00638433709299851,0.00191530112789955,0.253245371355608,16,0.032985741647159,0.0378804000851245,0.00851244945733135,0.0129814854224303,0.282187699510534,0,0.00170248989146627,0.00383060225579911,0.0012768674185997,0.00276654607363269,57.4,2.2,24.3,13.2,0,0.000425622472866567,0.018727388806129,0.0708661417322835,"5119.16",36,2.6,3.5,2,8.1,"11% to 17%","8% to 10%","1834523",0,2.5537348371994,4.25622472866567,0.638433709299851,0.212811236433284,1.70248989146627,1.2768674185997,0.212811236433284,0,0,0.638433709299851,0,0.638433709299851,0.851244945733135,0.212811236433284,1.48967865503299,0.638433709299851,0,0.212811236433284,2.76654607363269,0.425622472866567,0.638433709299851,0.638433709299851,0.212811236433284,0,0.212811236433284,0,0,18.727388806129,963,0,1135,6,159,12,31,60,629,81,4,775,7,139,11,30,42,558,69,3,2117,1634,0.771846953235711,0.228153046764289,0,0,-0.120912561349069,0.0078740157480315,0.00829963822089806
"320","06085512001",74,"Census Tract 5120.01, Santa Clara County, California",540,6918,4.2,0.0362821624747037,1.9,0.00245735761780862,0.00187915582538306,0.297918473547268,60,0.0169124024284475,0.0206707140792136,0.00361376120265973,0.0323793003758312,0.358340560855739,0.00361376120265973,0,0.00245735761780862,0.00491471523561723,0.00216825672159584,26.7,2.2,44.6,22.2,0,0,0.0450997398091934,0.0620121422376409,"5120.01",74,0.1,1.1,0.1,5.5,"11% to 17%","6% to 8%","19874505",0,4.0474125469789,3.90286209887251,0.433651344319167,0,3.75831165076612,0.289100896212778,0.144550448106389,0,0,0.722752240531946,0.289100896212778,0.289100896212778,1.01185313674472,0,5.49291702804279,0.289100896212778,0,0,3.61376120265973,0.578201792425557,0.144550448106389,0.578201792425557,0,0,0,0,0,23.9953743856606,1705,0,1488,14,968,13,192,101,178,43,6,1063,11,919,10,179,75,143,30,6,3003,2436,0.811188811188811,0.188811188811189,0,0,0.760144217888232,0.00954032957502168,0.00433651344319167
"321","06085512005",41,"Census Tract 5120.05, Santa Clara County, California",326,6613,3.1,0.017087554816271,10.3,0.0030243459851807,0,0.21321639195524,18,0.0365945864206865,0.0243459851807047,0.0167851202177529,0.01723877211553,0.196128837138969,0.0192045970058975,0,0.0446091032814154,0.0261605927718131,0,44.7,4,16.2,28.8,0,0.00105852109481325,0.180402238016029,0.0713745652502646,"5120.05",41,6.3,14.8,3.2,11.5,"22% to 26%","10% to 15%","2420997",0,5.5950400725843,5.1413881748072,0.907303795554211,0.151217299259035,1.96582489036746,0.151217299259035,0.30243459851807,0.151217299259035,0,1.36095569333132,0.30243459851807,0.453651897777106,1.20973839407228,0.30243459851807,92.0913352487525,0.604869197036141,0,0.453651897777106,2.72191138666263,0.30243459851807,0,1.05852109481325,0,0.30243459851807,0.151217299259035,0,0,113.412974444276,1330,0,1249,10,620,15,93,62,168,22,4,871,9,593,11,81,38,138,14,3,2243,1758,0.78377173428444,0.21622826571556,0,0,1.32776978976449,0.0707696960532285,0.0030243459851807
"322","06085512017",52,"Census Tract 5120.17, Santa Clara County, California",401,8756,3.7,0.0197578803106441,17.8,0.0203289173138419,0,0.242005481955231,48,0.0523069894929191,0.108497030607583,0.0344906349931476,0.0243261763362266,0.46082686158063,0.0103928734582001,0.00411146642302421,0.0256966651439013,0.0258108725445409,0.00890817724988579,11.9,3.7,34.4,48.1,0.00616719963453632,0,0.086455002284148,0.0421425308359982,"5120.17",52,6.7,16.5,4.7,36.3,"22% to 26%","15% to 21%","2300596",0,6.28140703517588,2.9693924166286,3.76884422110553,0,2.16994061215167,0.913659205116492,0.685244403837369,0,0,1.94152581087254,0.571037003197807,0.114207400639561,0.79945180447693,0.114207400639561,0.913659205116492,1.25628140703518,0,0.685244403837369,2.51256281407035,0.228414801279123,0.342622201918684,0.456829602558246,0.342622201918684,0.228414801279123,0.114207400639561,0,0.114207400639561,25.9250799451804,1824,0,1332,12,708,11,109,79,158,27,3,931,10,672,8,97,55,126,20,3,2439,1922,0.788027880278803,0.211972119721197,0,0,0.600731947973932,0.060415714938328,0.0203289173138419
"323","06085512019",63,"Census Tract 5120.19, Santa Clara County, California",428,4955,1.8,0.0143289606458123,7.3,0.0094853683148335,0,0.251059535822402,31,0.0631685166498486,0.0849646821392533,0.00847628657921292,0.0337033299697275,0.30736629667003,0.00686175580221998,0,0.00443995963673057,0.00343087790110999,0.0133198789101917,30.9,6.1,28.8,30.7,0.0159434914228052,0,0.084561049445005,0.0754793138244198,"5120.19",63,5.1,13.6,2.8,14.5,"17% to 22%","15% to 21%","1078547",0,5.85267406659939,9.4853683148335,0.807265388496468,0.605449041372351,2.4217961654894,0.807265388496468,0.403632694248234,0,0,1.00908173562059,0.201816347124117,0.201816347124117,1.41271442986882,0.403632694248234,17.7598385469223,1.41271442986882,0,0.201816347124117,4.03632694248234,0,0.201816347124117,0.807265388496468,0,0.201816347124117,0,0,0.201816347124117,46.2159434914228,990,0,1448,13,719,18,109,86,343,30,12,1039,12,688,14,97,56,303,21,11,2778,2241,0.806695464362851,0.193304535637149,0,0,1.69011127652524,0.0211907164480323,0.0094853683148335
"324","06085512020",63,"Census Tract 5120.20, Santa Clara County, California",338,6969,3.9,0.0133448127421438,6.4,0.0109054383699239,0.00746161572679007,0.238341225426891,43,0.0433347682594346,0.0529487731381834,0.0086095566078347,0.0959965561773569,0.444683598794662,0.00516573396470082,0,0.0100444827091405,0.00401779308365619,0,18.5,4.2,41.8,35.1,0.0124838570813603,0.00789209355718181,0.0628497632371933,0.0309944037882049,"5120.20",63,5.1,13.6,2.8,14.5,"17% to 22%","15% to 21%","1039466",0,6.6006600660066,8.89654182809585,1.43492610130578,0.143492610130578,2.58286698235041,0.86095566078347,0.286985220261157,0,0,0.286985220261157,0.430477830391735,0.286985220261157,1.57841871143636,0.430477830391735,1.2914334911752,1.2914334911752,0,0.86095566078347,2.58286698235041,0,0.143492610130578,0.430477830391735,0.286985220261157,0.143492610130578,0.430477830391735,0,0,28.6985220261157,1200,0,1334,11,694,13,101,76,284,26,11,952,10,663,11,90,48,249,17,11,2550,2051,0.804313725490196,0.195686274509804,0,0,0.924398104125273,0.0140622757927967,0.018367054096714
"325","06085512021",59,"Census Tract 5120.21, Santa Clara County, California",357,6152,3.8,0.0390117035110533,6.7,0.013816644993498,0.00601430429128739,0.230331599479844,81,0.0590052015604681,0.0419375812743823,0.0170676202860858,0.0186931079323797,0.328348504551365,0.00390117035110533,0.00227568270481144,0.00715214564369311,0.00975292587776333,0.00812743823146944,34.9,2.6,34.9,22.5,0.000650195058517555,0,0.0484395318595579,0.0733094928478544,"5120.21",59,2.9,21.4,2.1,29.1,"22% to 26%","15% to 21%","1597134",0,4.55136540962289,3.73862158647594,1.78803641092328,0.162548764629389,2.76332899869961,0.812743823146944,0,0,0,1.62548764629389,0.325097529258778,0.487646293888166,1.30039011703511,0.162548764629389,1.78803641092328,1.30039011703511,0,0.812743823146944,2.27568270481144,0.325097529258778,0.162548764629389,0.812743823146944,0,0.487646293888166,0.162548764629389,0,0,23.407022106632,1060,0,1531,15,807,14,125,103,333,35,11,1099,13,767,11,113,73,291,27,11,2974,2405,0.808675184936113,0.191324815063887,0,0,1.07818983130999,0.0250325097529259,0.0198309492847854
