"","GEOID","neib_name","Predicted_2021_GANG_PRESENCE_raw_metric","Predicted_2021_GANG_PRESENCE_metric"
"1","06085500100","San Jose - Northside",0.309448920720871,"60"
"2","06085500200","San Jose - Downtown",0.512834286736943,"90"
"3","06085500300","San Jose - Downtown",0.542227130639744,"90"
"4","06085500400","Rose Garden",0.297873100094922,"60"
"5","06085500500","Rose Garden",0.305349234975374,"60"
"6","06085500600","Rose Garden",0.250204584932695,"50"
"7","06085500800","San Jose - Downtown",0.721090442249672,"90"
"8","06085500901","San Jose - Downtown",0.700488738886985,"90"
"9","06085500902","San Jose - University",0.374384803335225,"70"
"10","06085501000","San Jose - Northside",0.676597444003536,"90"
"11","06085501101","San Jose - Northside",0.353288067181515,"70"
"12","06085501102","San Jose - Northside",0.471579712120065,"80"
"13","06085501200","San Jose - Northside",0.468816141295863,"80"
"14","06085501300","San Jose - University",0.469546023086351,"80"
"15","06085501401","Alum Rock West",0.424670590525387,"80"
"16","06085501402","Brookwood Terrace",0.480467790116231,"80"
"17","06085501501","Brookwood Terrace",0.490416865295465,"90"
"18","06085501502","Brookwood Terrace",0.519153733698765,"90"
"19","06085501600","San Jose - University",0.506645013684576,"90"
"20","06085501700","Guadalupe / Washington",0.581697595160627,"90"
"21","06085501800","Willow Glen",0.318026116447182,"60"
"22","06085501900","San Jose - Downtown",0.36766900847555,"70"
"23","06085502001","West San Carlos / Burbank",0.304926791426802,"60"
"24","06085502002","West San Carlos / Burbank",0.455017858141227,"80"
"25","06085502101","West San Carlos / Burbank",0.198286642131958,"30"
"26","06085502102","West San Carlos / Burbank",0.371854211684451,"70"
"27","06085502201","North Willow Glen / Gardner",0.340101632222184,"70"
"28","06085502202","Willow Glen",0.235992350514605,"50"
"29","06085502301","North Willow Glen / Gardner",0.205982718648901,"40"
"30","06085502302","North Willow Glen / Gardner",0.290082441665601,"60"
"31","06085502400","Willow Glen",0.225394995389053,"40"
"32","06085502500","Willow Glen",0.154042325997343,"20"
"33","06085502601","Willow Glen",0.185034405176679,"30"
"34","06085502603","Winchester East",0.133945237814228,"10"
"35","06085502604","Winchester East",0.222329884860909,"40"
"36","06085502701","Cambrian Park West Central",0.185915480525594,"30"
"37","06085502702","Cambrian Park West",0.162953080343859,"20"
"38","06085502800","Cambrian Park West Central",0.182263249133547,"30"
"39","06085502901","Cambrian Park West Central",0.171245984105044,"30"
"40","06085502902","Cambrian Park East Central",0.184522681337403,"30"
"41","06085502903","Willow Glen South",0.188551367009327,"30"
"42","06085502906","Cambrian Park West Central",0.234772972316176,"50"
"43","06085502907","Cambrian Park East Central",0.210313023881857,"40"
"44","06085502908","Cambrian Park East Central",0.174638213012821,"30"
"45","06085502909","Cambrian Park East",0.25756346952386,"50"
"46","06085502910","Cambrian Park East",0.26490411332828,"50"
"47","06085503001","Willow Glen South",0.181137290495,"30"
"48","06085503002","Willow Glen South",0.363696517025894,"70"
"49","06085503003","Cambrian Park East",0.191664439445766,"30"
"50","06085503105","Kennedy Santee",0.65355099972951,"90"
"51","06085503108","Willow Glen South",0.298992354142621,"60"
