"","PARENT_AWARENESS","child_maltreatment","prop_single_mothers","teen_mothers","families_in_poverty","families_unaware_of_community","drug_abuse","PARENT_AWARENESS_percentile","child_maltreatment_percentile","prop_single_mothers_percentile","teen_mothers_percentile","families_in_poverty_percentile","families_unaware_of_community_percentile","drug_abuse_percentile","PARENT_AWARENESS_score"
"1",0.596286349199395,0.307068893408297,0.404942728520147,0.692179700499168,0.370681797871016,0.312170237395331,0.257201608997325,0.809917355371901,0.859504132231405,0.516528925619835,0.900826446280992,0.826446280991736,0.413223140495868,0.909090909090909,"80"
"2",0.388859700128705,0.170970618632523,0.312766490367866,0.459234608985025,0.0663156115006083,0.403664619589229,0.201540291511097,0.615702479338843,0.648760330578512,0.363636363636364,0.702479338842975,0.214876033057851,0.652892561983471,0.87603305785124,"60"
"3",0.360604162466009,0.39221408842812,0.164180376238025,0.459234608985025,0.0902441604898953,0.190151088391366,0.237168437210171,0.557851239669422,0.921487603305785,0.111570247933884,0.702479338842975,0.268595041322314,0.198347107438017,0.892561983471074,"50"
"4",0.367037255708775,0.162680008438104,0.485785871064765,0.118136439267887,0.436840663792653,0.221297597440298,0.106814922113413,0.574380165289256,0.615702479338843,0.677685950413223,0.169421487603306,0.859504132231405,0.268595041322314,0.574380165289256,"50"
"5",0.242030030632584,0.191970783684035,0.502502315396263,0.118136439267887,0.147385649633931,0.12164644914339,0.114838378284386,0.31404958677686,0.698347107438017,0.714876033057851,0.169421487603306,0.462809917355372,0.0702479338842975,0.603305785123967,"30"
"6",0.276452827866691,0.0640950966030589,0.591848614685514,0.118136439267887,0.173627983351044,0.117900565391469,0.121215291297474,0.40495867768595,0.276859504132231,0.814049586776859,0.169421487603306,0.528925619834711,0.0578512396694215,0.632231404958678,"30"
"7",0.48062021177546,0.124265074463556,0.22652397489125,0.459234608985025,0.135588818518642,0.290610273315775,0.521042031598836,0.727272727272727,0.504132231404959,0.190082644628099,0.702479338842975,0.417355371900826,0.388429752066116,0.987603305785124,"70"
"8",0.560676414049918,0.084175188874181,0.00681350510696209,0.459234608985025,0.32666096919479,0.647606672393124,0.533861119082285,0.785123966942149,0.347107438016529,0.00826446280991736,0.702479338842975,0.78099173553719,0.958677685950413,0.995867768595041,"70"
"9",0.145636546243019,0.0233538699000487,0.101666751909452,0.124792013311148,0.119088387319168,0.188580317721114,0.262216532225256,0.148760330578512,0.169421487603306,0.0454545454545455,0.190082644628099,0.351239669421488,0.194214876033058,0.917355371900826,"10"
"10",0.715989972327143,0.283868893638458,0.659473455622558,0.692179700499168,0.338567694555437,0.336952067465407,0.339875523594191,0.888429752066116,0.826446280991736,0.871900826446281,0.900826446280992,0.805785123966942,0.458677685950413,0.971074380165289,"80"
