"","GEOID","neib_name","Predicted_2020_PARENT_AWARENESS_raw_metric","Predicted_2020_PARENT_AWARENESS_metric"
"198","06085511905","Almaden Valley",0.15646602757756,"10"
"199","06085511907","Almaden Valley",0.147428436769848,"10"
"200","06085511909","South Almaden Valley",0.0232046834045779,"0"
"201","06085511910","Almaden Valley",0.150947132090824,"10"
"202","06085511911","South Almaden Valley",0.118040905805444,"0"
"203","06085511912","South Almaden Valley",0.12411790997159,"0"
"204","06085511913","Almaden Valley",0.0966778038558489,"0"
"205","06085511914","Almaden Valley",0.127156049158848,"10"
"206","06085511915","Almaden Valley",0.406012331522242,"60"
"207","06085511916","Almaden Valley",0.177993658796389,"20"
"208","06085512001","Silver Creek / Basking Ridge",0.107202534915575,"0"
"209","06085512005","Branham / Pearl",0.279940699684541,"30"
"210","06085512017","Edenvale / Great Oaks",0.545550599514289,"70"
"211","06085512019","Parkview / Vista Park",0.363085119401467,"40"
"212","06085512020","Parkview / Vista Park",0.402588000785449,"60"
"213","06085512021","Hayes / Tradewinds",0.428213268276715,"60"
"214","06085512022","Hayes / Tradewinds",0.394415357337247,"50"
"215","06085512023","Hayes / Tradewinds",0.404667864652479,"60"
"216","06085512024","Branham / Pearl",0.384673452934973,"50"
"217","06085512025","Parkview / Vista Park",0.186150514608636,"20"
"218","06085512026","Parkview / Vista Park",0.419057212201816,"60"
"219","06085512027","Branham / Pearl",0.390636682049542,"50"
"220","06085512029","Blossom Valley",0.202198498036098,"20"
"221","06085512030","Blossom Valley",0.174193422990084,"20"
"222","06085512031","Blossom Valley",0.240748918700591,"20"
"223","06085512032","Santa Teresa",0.33115081386959,"40"
"224","06085512033","Santa Teresa",0.344198429554178,"40"
"225","06085512034","Santa Teresa",0.244262211569815,"20"
"226","06085512035","Coyote Valley",0.160547210498154,"10"
"227","06085512036","Blossom Valley",0.281545461881577,"30"
"228","06085512037","Blossom Valley",0.254288522431565,"30"
"229","06085512038","Santa Teresa",0.393536832783483,"50"
"230","06085512039","Santa Teresa",0.320917067583986,"40"
"231","06085512042","Edenvale / Great Oaks",0.550006341570128,"70"
"232","06085512043","Edenvale / Great Oaks",0.694086109598105,"80"
"233","06085512045","Canoas East",0.196072978993676,"20"
"234","06085512047","Canoas East",0.274223383233758,"30"
"235","06085512052","Canoas East",0.304494861436773,"40"
"236","06085512053","Canoas East",0.410893456760406,"60"
"237","06085512100","Coyote Valley",0.256833581778675,"30"
"239","06085512305","Morgan Hill - Western",0.207947973298777,"20"
"240","06085512308","Morgan Hill - Eastern",0.12559235472204,"10"
"241","06085512311","Morgan Hill - Western",0.111274067191447,"0"
