"","GEOID","neib_name","Predicted_2021_PARENT_AWARENESS_raw_metric","Predicted_2021_PARENT_AWARENESS_metric"
"1","06085500100","San Jose - Northside",0.566179644786006,"70"
"2","06085500200","San Jose - Downtown",0.329926502424383,"40"
"3","06085500300","San Jose - Downtown",0.36077609917343,"50"
"4","06085500400","Rose Garden",0.249252369480299,"30"
"5","06085500500","Rose Garden",0.186978724494225,"20"
"6","06085500600","Rose Garden",0.127232219259956,"10"
"7","06085500800","San Jose - Downtown",0.417178883940421,"60"
"8","06085500901","San Jose - Downtown",0.637687669359205,"80"
"9","06085500902","San Jose - University",0.136644604637377,"10"
"10","06085501000","San Jose - Northside",0.684834962748874,"80"
"11","06085501101","San Jose - Northside",0.441896967148236,"60"
"12","06085501102","San Jose - Northside",0.596526177858993,"80"
"13","06085501200","San Jose - Northside",0.594095298852045,"80"
"14","06085501300","San Jose - University",0.169054401153902,"10"
"15","06085501401","Alum Rock West",0.647160516680601,"80"
"16","06085501402","Brookwood Terrace",0.798533827515726,"90"
"17","06085501501","Brookwood Terrace",0.754462778660564,"90"
"18","06085501502","Brookwood Terrace",0.86858622179938,"90"
"19","06085501600","San Jose - University",0.397055394436543,"60"
"20","06085501700","Guadalupe / Washington",0.847765437615031,"90"
"21","06085501800","Willow Glen",0.366943383690244,"50"
"22","06085501900","San Jose - Downtown",0.380264194704525,"50"
"23","06085502001","West San Carlos / Burbank",0.550235862608334,"70"
"24","06085502002","West San Carlos / Burbank",0.683171336613119,"80"
"25","06085502101","West San Carlos / Burbank",0.461616967722628,"70"
"26","06085502102","West San Carlos / Burbank",0.661398181379676,"80"
"27","06085502201","North Willow Glen / Gardner",0.393252668673588,"50"
"28","06085502202","Willow Glen",0.343277307615694,"40"
"29","06085502301","North Willow Glen / Gardner",0.342410529061198,"40"
"30","06085502302","North Willow Glen / Gardner",0.405340926068105,"60"
"31","06085502400","Willow Glen",0.30927495195353,"40"
"32","06085502500","Willow Glen",0.132115838303634,"10"
"33","06085502601","Willow Glen",0.155383620933816,"10"
"34","06085502603","Winchester East",0.16549711257972,"10"
"35","06085502604","Winchester East",0.28429658554479,"30"
"36","06085502701","Cambrian Park West Central",0.33231378643457,"40"
"37","06085502702","Cambrian Park West",0.116386398726316,"10"
"38","06085502800","Cambrian Park West Central",0.337197923264052,"40"
"39","06085502901","Cambrian Park West Central",0.350599313405251,"40"
"40","06085502902","Cambrian Park East Central",0.241324959700302,"20"
"41","06085502903","Willow Glen South",0.118961719287501,"10"
"42","06085502906","Cambrian Park West Central",0.403242141198484,"60"
"43","06085502907","Cambrian Park East Central",0.264196486075244,"30"
"44","06085502908","Cambrian Park East Central",0.145480265921124,"10"
"45","06085502909","Cambrian Park East",0.402701525447787,"60"
"46","06085502910","Cambrian Park East",0.308307432086258,"40"
"47","06085503001","Willow Glen South",0.223577059125317,"20"
"48","06085503002","Willow Glen South",0.267602034686714,"30"
"49","06085503003","Cambrian Park East",0.298272544591641,"30"
"50","06085503105","Kennedy Santee",0.860136299741214,"90"
"51","06085503108","Willow Glen South",0.509366605094746,"70"
"52","06085503110","Kennedy Santee",0.854714844769775,"90"
"53","06085503111","Meadows",0.467752741170599,"70"
