"","PARENT_AWARENESS","child_maltreatment","prop_single_mothers","teen_mothers","families_in_poverty","families_unaware_of_community","drug_abuse","PARENT_AWARENESS_percentile","child_maltreatment_percentile","prop_single_mothers_percentile","teen_mothers_percentile","families_in_poverty_percentile","families_unaware_of_community_percentile","drug_abuse_percentile","PARENT_AWARENESS_score"
"178",0.113127133938297,0.0503762810620449,0.355395061776567,0.0732113144758735,0.0903683258483034,0.126062108517071,0.0716318372554431,0.12396694214876,0.239669421487603,0.384297520661157,0.0909090909090909,0.268595041322314,0.0909090909090909,0.367768595041322,"10"
"179",0.210881751704448,0.0971302013656097,0.437427638304335,0.199667221297837,0.018997261265629,0.160036225626249,0.13985559983651,0.289256198347107,0.400826446280992,0.56198347107438,0.297520661157025,0.0371900826446281,0.15702479338843,0.673553719008264,"20"
"180",0.0712145146963609,0.000578379499948127,0.256576973579476,0.0332778702163062,0.117134218957044,0.168486710709785,0.0275543554134236,0.0661157024793388,0.136363636363636,0.239669421487603,0.0826446280991736,0.359504132231405,0.177685950413223,0.119834710743802,"0"
"181",0.0704760999753428,0.0373528541556546,0.325694989037286,0.0332778702163062,0.0659106912584788,0.141875929270882,0.0224804341435252,0.0619834710743802,0.210743801652893,0.351239669421488,0.0826446280991736,0.173553719008264,0.115702479338843,0.107438016528926,"0"
"182",0.0166002435031101,0,0.105941560156651,0.0332778702163062,0.180430571345315,0.108919872891111,0.02141827779397,0.0165289256198347,0,0.0661157024793388,0.0826446280991736,0.549586776859504,0.0743801652892562,0.103305785123967,"0"
"183",0.0505312946180842,0,0.288400571194004,0.0133111480865225,0.0574944562658039,0.167348554842256,0.0296560769454969,0.0495867768595041,0,0.289256198347107,0.0537190082644628,0.15702479338843,0.173553719008264,0.128099173553719,"0"
"184",0.0132235071575535,0,0.147982307566845,0.00332778702163062,0.0180456191146774,0.26017605737041,0.00988535898183231,0.012396694214876,0,0.107438016528926,0.0247933884297521,0.0289256198347107,0.392561983471074,0.0495867768595041,"0"
"185",0.0680753143313905,0,0.200237120800251,0,0.0520230851968984,0.352282690999563,0.00659023932122154,0.0537190082644628,0,0.177685950413223,0,0.132231404958678,0.574380165289256,0.0330578512396694,"0"
"186",0.152096110904435,0.000502265827004333,0.411716539686163,0.00332778702163062,0.201117055599334,0.244876874612815,0.0128745630407423,0.181818181818182,0.132231404958678,0.5,0.0247933884297521,0.599173553719008,0.367768595041322,0.0619834710743802,"10"
"187",0.161536197521294,0,0.20091278682662,0.0133111480865225,0.0796267404949138,0.524414168117276,0.0854517176609582,0.202479338842975,0,0.181818181818182,0.0537190082644628,0.21900826446281,0.929752066115702,0.43801652892562,"10"
