"","GEOID","neibid","NAME","sampled_pop","total_pop","unemployed","not_in_labor_force","below_poverty_line","no_diploma_18_24_male","no_diploma_18_24_female","under_18_pop","under_18_with_disability","single_mothers","no_diploma_25_64","family_in_poverty","entered_2010_later","foreign_born","disability_under_18","income_under_poverty_line","Poverty_6_and_younger","Poverty_6_11","Poverty_12_17","white","black","asian","hispanic","amiakn","hawaiipi","other_races","two_or_more_races","tract","OBJECTID","tobacco_dens","crime_1mi_ave","alchohol_dens","birth_teen","overobese_teen","overobese_child","ALAND","weed_dens","c_auto_theft","c_burglary","c_narcotics","c_sex","c_grand_theft","c_dui","c_drunk_in_public","c_minor_alcohol","c_minor_tobacco","c_child_abuse","c_child_molest","c_child_neglect","c_domestic_battery","c_domestic_violence","c_missing_juv","c_agg_assault","c_intercourse_with_minor","c_robbery","c_assault","c_threats","c_graffiti","c_disturbance","c_weapons","c_armed_robbery","c_strong_armed_robbery","c_domestic_armed_robbery","c_gang_crime","c_total_crime","cad_calls","ssci_incidents","Hispanic_or_Latino_12th_grade_Enrolled","American_Indian_or_Alaska_Native_12th_grade_Enrolled","Asian_12th_grade_Enrolled","Pacific_Islander_12th_grade_Enrolled","Filipino_12th_grade_Enrolled","African_American_12th_grade_Enrolled","White_12th_grade_Enrolled","Two_or_More_Races_12th_grade_Enrolled","Not_Reported_12th_grade_Enrolled","Hispanic_or_Latino_Graduated","American_Indian_or_Alaska_Native_Graduated","Asian_Graduated","Pacific_Islander_Graduated","Filipino_Graduated","African_American_Graduated","White_Graduated","Two_or_More_Races_Graduated","Not_Reported_Graduated","total_enrolled","total_graduated","grad_rate","no_grad_rate","graf_incidents","graf_area","edi","youth_in_poverty","no_diploma_18_24"
"1","06085500100",70,"Census Tract 5001, Santa Clara County, California",358,6998,6.3,0.014575593026579,18.7,0,0,0.275507287796513,0,0.0365818805372964,0.149042583595313,0.0318662474992855,0.0187196341811946,0.351671906258931,0,0,0.0347242069162618,0.00700200057159188,0.0328665332952272,15.7,1.6,20.3,60.1,0.00743069448413833,0,0.326807659331238,0.041440411546156,"5001",70,15.6,66.1,10.4,41.9,"17% to 22%","15% to 21%","1922127",0,14.7184909974278,5.43012289225493,3.28665332952272,0.285795941697628,3.71534724206916,1.0002857959417,1.85767362103458,0,0,1.57187767933695,0.571591883395256,1.14318376679051,3.85824521291798,0.571591883395256,0.857387825092884,2.28636753358102,0.285795941697628,1.14318376679051,6.71620462989426,0.857387825092884,0.71448985424407,0.571591883395256,0.428693912546442,0.571591883395256,0.142897970848814,0,0,46.2989425550157,2092,0,1113,9,438,9,80,44,167,18,0,852,6,410,8,73,41,142,15,2,1878,1541,0.820553780617678,0.179446219382322,0,0,0.700939277669165,0.0745927407830809,0
"2","06085500200",65,"Census Tract 5002, Santa Clara County, California",360,5557,2.4,0,15,0.0233939175814288,0,0.116969587907144,40,0.0268130286125607,0.0786395537160338,0.00539859636494511,0.0471477415871873,0.228000719812849,0,0,0.00197948533381321,0.00431887709195609,0.00935756703257153,40,3.7,18.8,33.4,0.00197948533381321,0.00845780097174735,0.128126687061364,0.060824185711715,"5002",65,13.6,73.9,6.4,27.9,"17% to 22%","8% to 10%","1680241",0,5.03868994061544,3.41911103113191,6.2983624257693,15.1160698218463,2.87925139463739,1.79953212164837,0.719812848659349,0,0.179953212164837,1.97948533381321,0.539859636494511,0.539859636494511,1.79953212164837,0.719812848659349,2.69929818247256,2.87925139463739,0,0.539859636494511,5.75850278927479,0.899766060824186,0.719812848659349,1.61957890948353,0.899766060824186,0.179953212164837,0.359906424329674,0,0,53.6260572251215,2370,0,1230,8,71,7,24,43,181,33,0,959,4,55,6,23,38,154,29,2,1597,1262,0.790231684408266,0.209768315591734,0,0,1.34270183386553,0.0156559294583408,0.0233939175814288
"3","06085500300",65,"Census Tract 5003, Santa Clara County, California",318,3551,11.2,0.00168966488313151,19,0.00281610813855252,0,0.0830751900872994,15,0.0160518163897494,0.0760349197409181,0.00985637848493382,0.0242185299915517,0.239369191776964,0,0,0.00591382709096029,0,0.00168966488313151,41.8,5.9,17.1,35.1,0.00816671360180231,0,0.0980005632216277,0.0363277949873275,"5003",65,13.6,73.9,6.4,27.9,"17% to 22%","8% to 10%","2922372",0,9.01154604336807,8.72993522951281,10.1379892987891,3.09771895240777,12.6724866234863,2.25288651084202,3.09771895240777,0,0,1.40805406927626,0.563221627710504,0.281610813855252,4.78738383553928,0.844832441565756,1.40805406927626,3.66094058011828,0,4.22416220782878,13.2357082511968,0.844832441565756,0.281610813855252,1.12644325542101,0.281610813855252,1.40805406927626,2.81610813855252,0,0,75.4716981132075,2375,0,866,6,46,5,14,34,118,26,0,698,2,34,4,16,29,95,23,2,1115,895,0.802690582959641,0.197309417040359,0,0,1.10119268033349,0.00760349197409181,0.00281610813855252
"4","06085500400",64,"Census Tract 5004, Santa Clara County, California",286,2407,3,0.00249272953884504,14.5,0.00623182384711259,0.00540091400083091,0.236809306190278,37,0.0452845866223515,0.082675529705027,0.0228500207727462,0.0249272953884504,0.253842958039053,0.00830909846281678,0,0.0157872870793519,0.0145409223099294,0.00664727877025343,38.5,1.6,9,46.2,0.0116327378479435,0.00249272953884504,0.195263813876194,0.0635646032405484,"5004",64,5.1,23.4,4.1,7.4,"11% to 17%","6% to 8%","1005368",0,8.30909846281678,9.5554632322393,1.24636476942252,0,3.32363938512671,0,0.415454923140839,0,0,0,0.415454923140839,0.830909846281678,2.90818446198587,0.415454923140839,0.415454923140839,0.415454923140839,0,0.830909846281678,4.57000415454923,0.415454923140839,0,0,0,0.415454923140839,0.415454923140839,0,0,30.3282093892813,646,0,866,6,46,5,14,34,118,26,0,698,2,34,4,16,29,95,23,2,1115,895,0.802690582959641,0.197309417040359,0,0,0.937670992773366,0.0369754881595347,0.0116327378479435
"5","06085500500",64,"Census Tract 5005, Santa Clara County, California",454,5635,4,0.00266193433895297,7.1,0.00727595385980479,0.0028393966282165,0.186690328305235,8,0.0386867790594499,0.0376220053238687,0.011357586512866,0.00159716060337178,0.190417036379769,0.00532386867790594,0,0.00354924578527063,0.00159716060337178,0.00177462289263532,56.1,1,14.2,20.4,0.00301685891748004,0.0134871339840284,0.0779059449866903,0.098846495119787,"5005",64,5.1,23.4,4.1,7.4,"11% to 17%","6% to 8%","2134649",0,8.87311446317658,4.96894409937888,2.12954747116238,0.887311446317658,3.01685891748004,0.709849157054126,1.24223602484472,0,0,1.41969831410825,0.354924578527063,0.709849157054126,1.06477373558119,0.177462289263531,1.41969831410825,1.41969831410825,0,0.709849157054126,5.67879325643301,1.06477373558119,1.06477373558119,1.77462289263532,1.41969831410825,0.354924578527063,0.354924578527063,0,0,37.7994676131322,1548,0,1029,6,65,7,24,45,181,41,0,819,2,52,6,25,41,149,37,2,1398,1125,0.804721030042919,0.195278969957081,0,0,0.397014143917191,0.00692102928127773,0.0101153504880213
"6","06085500600",64,"Census Tract 5006, Santa Clara County, California",273,4785,5.7,0,5.8,0.00229885057471264,0.00815047021943574,0.161546499477534,37,0.0401253918495298,0.032183908045977,0.00585161964472309,0.00606060606060606,0.19435736677116,0.00334378265412748,0,0.00229885057471264,0.00438871473354232,0.00334378265412748,51.2,2.7,11.5,30.2,0.00752351097178683,0,0.133960292580982,0.0819226750261233,"5006",64,5.1,23.4,4.1,7.4,"11% to 17%","6% to 8%","1345945",0,8.15047021943574,6.26959247648903,3.34378265412748,1.04493207941484,6.478578892372,1.46290491118077,1.46290491118077,0,0,1.67189132706374,0,0.417972831765935,2.71682340647858,0.417972831765935,0.83594566353187,1.46290491118077,0.208986415882968,0.83594566353187,7.52351097178683,0.83594566353187,1.46290491118077,1.04493207941484,0.626959247648903,0.417972831765935,0.208986415882968,0,0,44.0961337513062,1573,0,866,6,46,5,14,34,118,26,0,698,2,34,4,16,29,95,23,2,1115,895,0.802690582959641,0.197309417040359,0,0,0.839380506823912,0.0100313479623824,0.0104493207941484
"7","06085500800",65,"Census Tract 5008, Santa Clara County, California",259,3337,9.4,0,13.8,0,0,0.0916991309559485,42,0.0245729697332934,0.0958945160323644,0.00839077015283188,0.0185795624812706,0.26580761162721,0.00629307761462391,0,0,0.00209769253820797,0.00179802217560683,36.2,11.2,22.4,26.9,0.0104884626910399,0.00239736290080911,0.0752172610128858,0.0212765957446809,"5008",65,13.6,73.9,6.4,27.9,"17% to 22%","8% to 10%","1678457",0,11.6871441414444,9.2897812406353,32.364399160923,3.29637398861253,23.0746179202877,8.09109979023075,12.885825591849,0.299670362601139,0,2.99670362601139,0.899011087803416,0.299670362601139,5.69373688942164,1.79802217560683,2.99670362601139,9.2897812406353,0,8.69044051543302,29.9670362601139,2.09769253820797,1.79802217560683,2.99670362601139,3.29637398861253,3.8957147138148,4.19538507641594,0,0.299670362601139,164.219358705424,3519,0,1230,8,71,7,24,43,181,33,0,959,4,55,6,23,38,154,29,2,1597,1262,0.790231684408266,0.209768315591734,0,0,1.49042612578537,0.0038957147138148,0
"8","06085500901",65,"Census Tract 5009.01, Santa Clara County, California",250,3974,8,0,29.3,0.0143432310015098,0,0.0848012078510317,16,0.00880724710619024,0.0503271263210871,0.0286864620030196,0.134625062908908,0.440110719677906,0,0,0.0249119275289381,0.00503271263210871,0.0223955712128837,27.9,9.2,39.1,22.4,0,0,0.0762455963764469,0.0186210367388022,"5009.01",65,13.6,73.9,6.4,27.9,"17% to 22%","8% to 10%","720813",0,8.30397584297937,3.01962757926522,34.4740815299446,1.76144942123805,15.8530447911424,7.8007045797685,15.0981378963261,1.00654252642174,1.25817815802718,0.503271263210871,0.503271263210871,0.754906894816306,5.03271263210871,0.754906894816306,2.51635631605435,14.5948666331152,0,16.6079516859587,31.9577252138903,0.754906894816306,1.50981378963261,4.02617010568697,3.27126321087066,4.02617010568697,11.3236034222446,0,0,164.82133870156,3393,0,1230,8,71,7,24,43,181,33,0,959,4,55,6,23,38,154,29,2,1597,1262,0.790231684408266,0.209768315591734,0,0,1.22760538211932,0.0523402113739306,0.0143432310015098
"9","06085500902",71,"Census Tract 5009.02, Santa Clara County, California",527,5541,7.5,0.000902364194188775,15.6,0.00162425554953979,0,0.0445767911929255,130,0.0166035011730735,0.0274318715033387,0.0151597184623714,0.0377188233170908,0.169824941346327,0.00180472838837755,0.000902364194188775,0.00342898393791734,0.00487276664861938,0.00541418516513265,33.3,5.2,31.6,22.7,0.0140768814293449,0,0.0772423750225591,0.0985381700054142,"5009.02",71,18.8,98.9,9.4,7.8,"0% to 11%","8% to 10%","242522",0,2.34614690489081,1.26330987186428,1.26330987186428,0,0.541418516513265,0.541418516513265,0.902364194188775,0,0,0,0.180472838837755,0,0.541418516513265,0.180472838837755,0.541418516513265,0.902364194188775,0,1.08283703302653,1.9852012272153,0.180472838837755,0.180472838837755,0.180472838837755,0.36094567767551,0,0.541418516513265,0,0,12.2721530409673,536,0,866,6,46,5,14,34,118,26,0,698,2,34,4,16,29,95,23,2,1115,895,0.802690582959641,0.197309417040359,0,0,1.65383437981168,0.0137159357516694,0.00162425554953979
"10","06085501000",70,"Census Tract 5010, Santa Clara County, California",242,4443,7.1,0.0110285842898942,21.7,0.00585190186810713,0.00585190186810713,0.16182759396804,49,0.0580688723835246,0.153049741165879,0.0236326806212019,0.00675219446320054,0.405581814089579,0,0.00697726761197389,0.0222822417285618,0.0155300472653612,0.0141796083727211,22.1,3.6,19,54.3,0.0380373621426964,0,0.233400855277965,0.0693225298221922,"5010",70,15.6,66.1,10.4,41.9,"17% to 22%","15% to 21%","802660",0,9.67814539725411,4.27638982669368,22.0571685797884,0.675219446320054,5.17668242178708,3.37609723160027,3.15102408282692,0.225073148773351,0,2.02565833896016,1.12536574386676,1.12536574386676,6.30204816565384,1.12536574386676,2.47580463650686,6.75219446320054,0,4.27638982669368,17.3306324555481,0.900292595093405,0.450146297546703,2.25073148773351,1.35043889264011,0.900292595093405,3.15102408282692,0,0,87.778528021607,2334,0,1230,8,71,7,24,43,181,33,0,959,4,55,6,23,38,154,29,2,1597,1262,0.790231684408266,0.209768315591734,0,0,1.2803367456002,0.0519918973666442,0.0117038037362143
