"","VOCATIONAL_TRAINING","joblessness","poverty_in_community","concentrated_disadvantage","edu_completion","illegal_econ_activity","VOCATIONAL_TRAINING_percentile","joblessness_percentile","poverty_in_community_percentile","concentrated_disadvantage_percentile","edu_completion_percentile","illegal_econ_activity_percentile","VOCATIONAL_TRAINING_score"
"1",0.520274967262331,0.511025081103852,0.522350007320052,0.327535720189848,0,0.123092638381535,0.756198347107438,0.789256198347107,0.826446280991736,0.652892561983471,0,0.834710743801653,"70"
"2",0.373303067822061,0.129811493011103,0.418252599465954,0.0909348484789874,0.218801935026305,0.244938499749261,0.516528925619835,0.103305785123967,0.735537190082645,0.0413223140495868,0.921487603305785,0.966942148760331,"50"
"3",0.883730602213269,1,0.529308337200942,0.630323360907799,0.0263388937664618,0.240883669683007,0.995867768595041,1,0.84297520661157,0.983471074380165,0.223140495867769,0.958677685950413,"90"
"4",0.327348685433749,0.189437162618677,0.402885226336249,0.172265679805897,0.108800312813119,0.1101393966448,0.446280991735537,0.18595041322314,0.731404958677686,0.119834710743802,0.665289256198347,0.760330578512397,"40"
"5",0.267806072838689,0.28254690878003,0.193090601285348,0.163269273021533,0.0946082780938462,0.0955514970488227,0.330578512396694,0.355371900826446,0.421487603305785,0.107438016528926,0.62396694214876,0.661157024793388,"30"
"6",0.352775991544835,0.457631035034806,0.157146465590444,0.217498793833126,0.0977318827217407,0.119481314033428,0.483471074380165,0.698347107438017,0.293388429752066,0.272727272727273,0.636363636363636,0.818181818181818,"40"
"7",0.719558671583064,0.822476918727501,0.38441752075365,0.370142833203351,0,0.42393381734453,0.921487603305785,0.983471074380165,0.714876033057851,0.731404958677686,0,0.991735537190083,"90"
"8",0.882321710044595,0.680430857139404,0.821588125562002,0.363442450534679,0.134151395837651,0.423586584406401,0.991735537190083,0.929752066115702,0.971074380165289,0.723140495867769,0.768595041322314,0.987603305785124,"90"
"9",0.488013885905611,0.635152453944194,0.434752613821864,0.28174677350335,0.0151915666104016,0.0334706313560683,0.694214876033058,0.900826446280992,0.756198347107438,0.495867768595041,0.152892561983471,0.231404958677686,"60"
"10",0.657759194815814,0.594745517258769,0.606580552714097,0.313376422866347,0.109464987885769,0.216487792443956,0.871900826446281,0.871900826446281,0.888429752066116,0.599173553719008,0.669421487603306,0.946280991735537,"80"
"11",0.659323191007764,0.737139388555139,0.526106396287165,0.400097025398936,0.105539846270262,0.0758298245853098,0.87603305785124,0.971074380165289,0.834710743801653,0.793388429752066,0.661157024793388,0.541322314049587,"80"
"12",0.490856360451991,0.593242715947468,0.315202475335827,0.245077178959716,0.133178576556741,0.120986838180335,0.698347107438017,0.867768595041322,0.632231404958678,0.384297520661157,0.764462809917355,0.822314049586777,"60"
"13",0.702650703419321,0.698216609048716,0.561030996461046,0.338736615998144,0.265999202131082,0.0931262153000344,0.90495867768595,0.942148760330578,0.855371900826446,0.690082644628099,0.958677685950413,0.65702479338843,"90"
"14",0.588752027147945,0.413517586305226,0.750336905298751,0.254821426898715,0.124983623739028,0.117982233846305,0.834710743801653,0.611570247933884,0.950413223140496,0.409090909090909,0.714876033057851,0.805785123966942,"80"
"15",0.730385958305169,0.486477892899987,0.698710570663026,0.292465110183971,0.310103437467349,0.241301457641059,0.93801652892562,0.756198347107438,0.925619834710744,0.537190082644628,0.975206611570248,0.962809917355372,"90"
"16",0.445349644078689,0.41581559712442,0.494188965366472,0.206160179531167,0.0449949062370298,0.128477842614419,0.619834710743802,0.615702479338843,0.814049586776859,0.227272727272727,0.37603305785124,0.851239669421488,"60"
"17",0.709671144025294,0.701193687424868,0.631554650468956,0.377201328583374,0.168016907361747,0.0973549938952532,0.917355371900826,0.946280991735537,0.90495867768595,0.756198347107438,0.838842975206612,0.685950413223141,"90"
"18",0.673665552175216,0.459404317084257,0.70946281783954,0.27713655734139,0.319028980797219,0.116885743529979,0.888429752066116,0.706611570247934,0.929752066115702,0.483471074380165,0.979338842975207,0.785123966942149,"80"
"19",0.723128652457175,0.473885879987449,0.996696508320193,0.335683830747409,0,0.203965862004107,0.925619834710744,0.739669421487603,0.995867768595041,0.681818181818182,0,0.933884297520661,"90"
"20",0.638250257232756,0.51563879959893,0.616160209229686,0.317761887512688,0.17867070415538,0.161814971299589,0.863636363636364,0.801652892561983,0.896694214876033,0.628099173553719,0.863636363636364,0.909090909090909,"80"
"21",0.405888306315712,0.472592334605718,0.266186403619038,0.299042017977307,0.0422960375656358,0.107152895163249,0.56198347107438,0.735537190082645,0.566115702479339,0.56198347107438,0.355371900826446,0.735537190082645,"50"
"22",0.549368669637375,0.443977800065946,0.371927844914981,0.266339500708119,0.307243218797217,0.169987900495913,0.797520661157025,0.669421487603306,0.685950413223141,0.433884297520661,0.971074380165289,0.917355371900826,"70"
"23",0.523708920722801,0.626840614463311,0.377818871344692,0.400211278047303,0.0588035384077165,0.0292372630994806,0.768595041322314,0.892561983471074,0.698347107438017,0.797520661157025,0.462809917355372,0.210743801652893,"70"
"24",0.729379247881999,0.513705998954903,0.779627649927826,0.489663822999488,0.132376957315316,0.111072502922043,0.933884297520661,0.797520661157025,0.958677685950413,0.917355371900826,0.756198347107438,0.768595041322314,"90"
"25",0.242542893609273,0.251079951358861,0.261623965681528,0.210519137444983,0.00708824643915922,0.0332193106189576,0.252066115702479,0.289256198347107,0.557851239669422,0.252066115702479,0.115702479338843,0.227272727272727,"20"
"26",0.523653739596584,0.417111542914563,0.554631174468646,0.309710158270225,0.113954521021758,0.09736102172576,0.764462809917355,0.619834710743802,0.851239669421488,0.59504132231405,0.685950413223141,0.690082644628099,"70"
"27",0.51263437623154,0.330341411554973,0.524868583642506,0.402855717705003,0.120095618323525,0.0860214367527158,0.739669421487603,0.454545454545455,0.830578512396694,0.801652892561983,0.706611570247934,0.603305785123967,"70"
"28",0.24328155215354,0.206462421199254,0.159174400074864,0.263945472318203,0.0685197155785391,0.0673447779472364,0.256198347107438,0.214876033057851,0.301652892561983,0.429752066115702,0.520661157024793,0.471074380165289,"20"
"29",0.246486764089909,0.229037831704437,0.159278023114549,0.262452977503037,0.0625234597029331,0.0604692284318052,0.268595041322314,0.243801652892562,0.305785123966942,0.425619834710744,0.487603305785124,0.40495867768595,"20"
