"","GEOID","neib_name","Predicted_2020_VOCATIONAL_TRAINING_raw_metric","Predicted_2020_VOCATIONAL_TRAINING_metric"
"156","06085505800","Rose Garden",0.154159582681168,"20"
"157","06085505900","Santa Clara - Southeast",0.0434835690178418,"0"
"158","06085506102","Santa Clara - Southeast",0.112549792848145,"10"
"159","06085506103","Santa Clara - Southwest",0.0612049293663878,"0"
"160","06085506202","West San Jose",0.080053771835166,"10"
"161","06085506203","West San Jose",0.196622365874719,"30"
"162","06085506204","West San Jose",0.171734203646072,"20"
"163","06085506301","Winchester North",0.221702351673611,"40"
"164","06085506302","Winchester North",0.358157837404331,"60"
"165","06085506304","West San Jose",0.279063447683341,"50"
"166","06085506305","West San Jose",0.658430383155389,"90"
"167","06085506401","Winchester North",0.239478657736649,"40"
"168","06085506402","Winchester North",0.379829479819148,"70"
"169","06085506501","Winchester North",0.660985395188828,"90"
"170","06085506601","San Tomas - North",0.277362526509048,"50"
"171","06085506603","San Tomas - North",0.261757876378055,"50"
"172","06085506604","San Tomas - North",0.192013541382098,"30"
"173","06085506605","San Tomas - North",0.186268886807484,"30"
"174","06085506606","Winchester West",0.13266253846058,"20"
"175","06085506701","San Tomas - South",0.160344108583209,"20"
"176","06085506702","San Tomas - South",0.313923673922207,"60"
"177","06085506801","Los Gatos - Eastern",0.088652133253284,"10"
"178","06085506802","Cambrian Park West",0.112427382442385,"10"
"179","06085506803","Cambrian Park West Central",0.155394596952232,"20"
"180","06085506804","Los Gatos - Eastern",0.0800857225652483,"10"
"181","06085506900","Los Gatos - Eastern",0.0937313233254725,"10"
"182","06085507002","Los Gatos - Eastern",0.248450594616002,"40"
"183","06085507205","Monte Sereno/Los Gatos - Western",0.0262387810569815,"0"
"184","06085507301","Saratoga - Southeastern",0.0669957863028542,"0"
"185","06085507401","Saratoga - Northwestern",0.169985645185483,"20"
"186","06085507402","Saratoga - Southeastern",0.300270846744501,"60"
"187","06085507807","Cupertino - Southside",0.220464917464453,"40"
"188","06085507808","Cupertino - Southside",0.194727407921574,"30"
"189","06085507903","Calabazas",0.0775439771265554,"10"
"190","06085507904","Calabazas",0.104779704381149,"10"
"191","06085507905","Calabazas",0.25280130480162,"50"
"192","06085507906","Calabazas",0.0628234339519775,"0"
"193","06085508001","Cupertino - Eastside",0.0612991948519167,"0"
"194","06085508003","Cupertino - Eastside",0.223053245732961,"40"
"195","06085508004","Cupertino - Eastside",0.191785514108688,"30"
"196","06085508102","Santa Clara - Southwest",0.00833115939184269,"0"
"198","06085511905","Almaden Valley",0.11739524542896,"10"
"199","06085511907","Almaden Valley",0.0543293466663041,"0"
"200","06085511909","South Almaden Valley",0,"0"
"201","06085511910","Almaden Valley",0.191965245822963,"30"
"202","06085511911","South Almaden Valley",0.202771349516619,"30"
"203","06085511912","South Almaden Valley",0.206565477631507,"30"
"204","06085511913","Almaden Valley",0.180852990947089,"30"
"205","06085511914","Almaden Valley",0.0680326693889887,"0"
"206","06085511915","Almaden Valley",0.477193134770806,"70"
"207","06085511916","Almaden Valley",0.24965196718553,"50"
"208","06085512001","Silver Creek / Basking Ridge",0.0410195244112735,"0"
"209","06085512005","Branham / Pearl",0.222171156068312,"40"
"210","06085512017","Edenvale / Great Oaks",0.259774075731443,"50"
"211","06085512019","Parkview / Vista Park",0.247214708401033,"40"
"212","06085512020","Parkview / Vista Park",0.349532011863507,"60"
"213","06085512021","Hayes / Tradewinds",0.34710869884215,"60"
"214","06085512022","Hayes / Tradewinds",0.252503174839924,"50"
"215","06085512023","Hayes / Tradewinds",0.248569823868073,"40"
"216","06085512024","Branham / Pearl",0.264891053328603,"50"
"217","06085512025","Parkview / Vista Park",0.205014511883731,"30"
"218","06085512026","Parkview / Vista Park",0.23593442371911,"40"
"219","06085512027","Branham / Pearl",0.220898211259245,"40"
"220","06085512029","Blossom Valley",0.0750802058629461,"0"
"221","06085512030","Blossom Valley",0.132029792332645,"20"
"222","06085512031","Blossom Valley",0.0781158883104002,"10"
"223","06085512032","Santa Teresa",0.155143173943121,"20"
"224","06085512033","Santa Teresa",0.298555231489129,"60"
"225","06085512034","Santa Teresa",0.142802149568684,"20"
"226","06085512035","Coyote Valley",0.0519370666167973,"0"
"227","06085512036","Blossom Valley",0.1061860261502,"10"
"228","06085512037","Blossom Valley",0.2270559007695,"40"
"229","06085512038","Santa Teresa",0.187650458759231,"30"
"230","06085512039","Santa Teresa",0.0192756511092576,"0"
"231","06085512042","Edenvale / Great Oaks",0.363015395593646,"70"
"232","06085512043","Edenvale / Great Oaks",0.625139815427875,"80"
"233","06085512045","Canoas East",0.178856527171422,"30"
"234","06085512047","Canoas East",0.268846057952222,"50"
"235","06085512052","Canoas East",0.302872812549313,"60"
"236","06085512053","Canoas East",0.270667862931788,"50"
"237","06085512100","Coyote Valley",0.27607676119822,"50"
"239","06085512305","Morgan Hill - Western",0.254542079181695,"50"
"240","06085512308","Morgan Hill - Eastern",0.278447558443503,"50"
"241","06085512311","Morgan Hill - Western",0.267922051802395,"50"
