"","GEOID","neib_name","Predicted_2021_VOCATIONAL_TRAINING_raw_metric","Predicted_2021_VOCATIONAL_TRAINING_metric"
"1","06085500100","San Jose - Northside",0.249799137691247,"40"
"2","06085500200","San Jose - Downtown",0.451528840239666,"70"
"3","06085500300","San Jose - Downtown",0.21933782035719,"30"
"4","06085500400","Rose Garden",0.30515795097262,"60"
"5","06085500500","Rose Garden",0.291305333149813,"50"
"6","06085500600","Rose Garden",0.289981435434799,"50"
"7","06085500800","San Jose - Downtown",0.335595457758168,"60"
"8","06085500901","San Jose - Downtown",0.917193395672345,"90"
"9","06085500902","San Jose - University",0.509305633021758,"80"
"10","06085501000","San Jose - Northside",0.741684050384727,"90"
"11","06085501101","San Jose - Northside",0.591736542224544,"80"
"12","06085501102","San Jose - Northside",0.530300953758543,"80"
"13","06085501200","San Jose - Northside",0.519392877379481,"80"
"14","06085501300","San Jose - University",0.714711835599818,"90"
"15","06085501401","Alum Rock West",0.489802693890467,"70"
"16","06085501402","Brookwood Terrace",0.410332591568086,"70"
"17","06085501501","Brookwood Terrace",0.555924772767856,"80"
"18","06085501502","Brookwood Terrace",0.695216957492323,"90"
"19","06085501600","San Jose - University",0.512713661434278,"80"
"20","06085501700","Guadalupe / Washington",0.663261468374329,"90"
"21","06085501800","Willow Glen",0.307187308228914,"60"
"22","06085501900","San Jose - Downtown",0.344825592467358,"70"
"23","06085502001","West San Carlos / Burbank",0.313863121770413,"60"
"24","06085502002","West San Carlos / Burbank",0.782950478881855,"90"
"25","06085502101","West San Carlos / Burbank",0.143559378978019,"10"
"26","06085502102","West San Carlos / Burbank",0.595349778742551,"80"
"27","06085502201","North Willow Glen / Gardner",0.604778816278449,"80"
"28","06085502202","Willow Glen",0.300722791401588,"60"
"29","06085502301","North Willow Glen / Gardner",0.242244218986683,"40"
"30","06085502302","North Willow Glen / Gardner",0.324599032246656,"60"
"31","06085502400","Willow Glen",0.0996171845963602,"10"
"32","06085502500","Willow Glen",0.0905703637785491,"0"
"33","06085502601","Willow Glen",0.118001258202258,"10"
"34","06085502603","Winchester East",0.179537764425213,"20"
"35","06085502604","Winchester East",0.195840944652454,"20"
"36","06085502701","Cambrian Park West Central",0.250283539549838,"40"
